"event.id","timestamp","location.long","location.lat","heading","height.above.ellipsoid","migration.stage","migration.stage.standard","coords.x1","coords.x2","optional","sensor","timestamps","trackId","individual.local.identifier","visible","individual.id","deployment.id","tag.id","study.id","sensor.type.id","tag.local.identifier","individual.taxon.canonical.name","migration.stage.standard.1","study.name","sensor.type","birth.latitude","birth.longitude","comments","death.comments","earliest.date.born","exact.date.of.birth","group.id","latest.date.born","marker.id","mates","mortality.latitude","mortality.longitude","mortality.type","nick.name","offspring","parents","ring.id","sex","siblings","taxon.canonical.name","timestamp.start","timestamp.end","number.of.events","number.of.deployments","sensor.type.ids","taxon.detail","animalName","heading.1","height.above.ellipsoid.1"
1149963393,2013-08-28 18:00:41,48.7758041,69.1355161,0,108.4,"breedmoult",NA,48.7758041,69.1355161,TRUE,"GPS",2013-08-28 18:00:41,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963394,2013-08-29 06:00:23,49.2372006,68.9592931,0,35.9,"flight",NA,49.2372006,68.9592931,TRUE,"GPS",2013-08-29 06:00:23,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963395,2013-08-29 06:20:08,49.2371629,68.9593426,332.92,40.2,"flight",NA,49.2371629,68.9593426,TRUE,"GPS",2013-08-29 06:20:08,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963396,2013-08-29 06:40:07,49.2368485,68.9592353,152.7,44.8,"flight",NA,49.2368485,68.9592353,TRUE,"GPS",2013-08-29 06:40:07,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963397,2013-08-29 07:00:07,49.2366584,68.9591619,0,36.9,"flight",NA,49.2366584,68.9591619,TRUE,"GPS",2013-08-29 07:00:07,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963398,2013-08-29 07:20:07,49.2367273,68.9589425,159.91,42.1,"flight",NA,49.2367273,68.9589425,TRUE,"GPS",2013-08-29 07:20:07,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963399,2013-08-29 07:40:06,49.2363857,68.9590182,0,42.7,"flight",NA,49.2363857,68.9590182,TRUE,"GPS",2013-08-29 07:40:06,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963400,2013-08-29 08:00:06,49.2364186,68.959102,60.29,40.3,"flight",NA,49.2364186,68.959102,TRUE,"GPS",2013-08-29 08:00:06,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963401,2013-08-29 08:40:06,49.2359168,68.9590402,0,36.5,"flight",NA,49.2359168,68.9590402,TRUE,"GPS",2013-08-29 08:40:06,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963402,2013-08-29 09:20:06,49.2345388,68.9591952,199.23,38.5,"flight",NA,49.2345388,68.9591952,TRUE,"GPS",2013-08-29 09:20:06,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963403,2013-08-29 09:40:06,49.235294,68.9591241,212.34,40,"flight",NA,49.235294,68.9591241,TRUE,"GPS",2013-08-29 09:40:06,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963404,2013-08-29 10:00:06,49.235186,68.9590189,220.2,40,"flight",NA,49.235186,68.9590189,TRUE,"GPS",2013-08-29 10:00:06,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963405,2013-08-29 10:30:10,49.2357553,68.9589377,253.62,36.1,"flight",NA,49.2357553,68.9589377,TRUE,"GPS",2013-08-29 10:30:10,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963406,2013-08-29 18:00:23,50.8062104,68.3501987,0,12.2,"flight",NA,50.8062104,68.3501987,TRUE,"GPS",2013-08-29 18:00:23,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963407,2013-08-30 08:00:23,51.0370002,68.3391504,88.47,27.6,"stopover",NA,51.0370002,68.3391504,TRUE,"GPS",2013-08-30 08:00:23,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963408,2013-08-30 08:20:06,51.1249841,68.3435221,0,4.6,"stopover",NA,51.1249841,68.3435221,TRUE,"GPS",2013-08-30 08:20:06,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963409,2013-08-30 08:40:07,51.1250329,68.3435362,0,4.9,"stopover",NA,51.1250329,68.3435362,TRUE,"GPS",2013-08-30 08:40:07,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963410,2013-08-30 09:00:06,51.1743642,68.3331898,133.69,8.1,"stopover",NA,51.1743642,68.3331898,TRUE,"GPS",2013-08-30 09:00:06,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
1149963411,2013-08-30 09:20:07,51.2033459,68.3249788,121.9,2.8,"stopover",NA,51.2033459,68.3249788,TRUE,"GPS",2013-08-30 09:20:07,"X3089","3089","true",138936208,139537871,138936209,133992043,653,3089,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons",NA,NA,0,0,NA,NA,"3089_139537871",NA,NA
